Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
L. Sučić,Luka Sučić,73,6500000,"CAM,CM",CAM,Croatia,19,185,71,405,FC Red Bull Salzburg,13000,11100000,CAM,2025,21,2019,-,Left,3,3,1,Croatia,SUB,16,Medium,Medium,75,70,74,75,49,62
N. Fagioli,Nicolò Fagioli,73,7500000,"CM,CAM,CDM",CAM,Italy,21,178,72,407,Juventus,47000,14300000,SUB,2026,44,2019,-,Right,4,3,1,-,-,-,Medium,Medium,73,62,74,77,61,60
S. Bahoken,Stéphane Bahoken,73,3000000,ST,ST,Cameroon,30,185,88,371,Kasimpaşa SK,14000,6000000,ST,2024,19,2022,-,Right,3,3,2,-,-,-,Medium,Low,73,72,59,71,24,72
R. Lod,Robin Lod,73,3000000,"RM,ST,CAM",RM,Finland,29,181,82,412,Minnesota United FC,8000,4500000,RM,2022,17,2019,-,Left,4,3,1,Finland,CM,8,Medium,Low,72,73,71,73,54,69
Sandelas Júnior,Leonardo Luis Sandelas Junior,73,2500000,CDM,CDM,Brazil,30,183,78,389,Santos,20000,4800000,CDM,2025,19,2022,-,Left,3,2,1,-,-,-,Medium,Medium,61,53,65,64,71,75
O. Abildgaard,Oliver Abildgaard,73,3600000,CDM,CDM,Denmark,26,192,86,409,Celtic,36000,6800000,SUB,2024,28,2020,-,Left,2,2,1,-,-,-,High,High,64,62,66,68,70,79
T. Kacharaba,Taras Kacharaba,73,2800000,CB,CB,Ukraine,27,189,79,364,SK Slavia Praha,1000,6200000,SUB,2024,30,2022,-,Right,3,2,1,Ukraine,SUB,3,Medium,High,71,34,50,59,72,78
V. Verre,Valerio Verre,73,3100000,"CAM,LM",CAM,Italy,28,181,70,419,U.C. Sampdoria,17000,5600000,SUB,2025,5,2017,-,Right,4,3,2,-,-,-,Medium,Medium,69,73,73,74,65,65
D. Appiah,Dennis Appiah,73,2600000,"RB,CB,LB",RB,France,30,179,68,382,FC Nantes,19000,5200000,RWB,2023,12,2019,-,Right,3,2,1,-,-,-,Low,Medium,71,39,60,65,73,74
M. Loum,Mamadou Loum,73,4099999,"CDM,CM",CB,Senegal,25,188,80,371,Reading,10000,0,CDM,2023,22,2019,TRUE,Right,2,2,1,-,-,-,Medium,High,43,53,60,63,72,80
R. Nelson,Reiss Nelson,73,6000000,"RW,LW",RM,England,22,175,71,385,Arsenal,51000,12600000,SUB,2023,24,2016,-,Right,3,4,1,-,-,-,High,Medium,86,64,68,77,36,54
C. Bravo,Claudio Bravo,73,3900000,LB,LWB,Argentina,25,170,68,399,Portland Timbers,7000,6100000,LB,2023,5,2021,-,Left,2,3,1,-,-,-,Medium,High,77,48,63,72,70,69
S. Romagnoli,Simone Romagnoli,73,2000000,CB,CB,Italy,32,193,85,356,Parma,5000,3200000,CB,2024,5,2022,-,Right,2,2,1,-,-,-,Low,Medium,61,40,47,56,74,78
Jeffmeirson,Jeff Nazario Meire Costinho,73,2600000,LB,LB,Brazil,30,179,77,397,RB Bragantino,13000,4900000,SUB,2025,3,2022,-,Left,3,2,1,-,-,-,Medium,Medium,72,50,69,60,72,74
David Costas,David Costas Cordal,73,3200000,"CB,RB",CB,Spain,27,181,73,394,Real Oviedo,9000,5400000,SUB,2024,4,2021,-,Right,3,2,1,-,-,-,Medium,Medium,76,45,63,64,73,73
Paulinho,Paulo Victor da Silva,73,3200000,"LWB,LB",LWB,Brazil,27,178,71,423,FC Midtjylland,20000,4400000,LB,2026,29,2019,-,Left,3,3,1,-,-,-,High,Medium,85,65,67,71,65,70
M. Robinson,Miles Robinson,73,5500000,CB,CB,United States,25,188,84,389,Atlanta United,7000,9400000,RES,2023,12,2017,-,Right,4,2,1,-,-,-,Medium,Medium,83,35,54,67,72,78
Léo Duarte,Leonardo Duarte da Silva,73,3800000,CB,CB,Brazil,25,183,79,347,İstanbul Başakşehir FK,25000,7900000,CB,2026,5,2022,-,Right,2,2,1,-,-,-,Low,High,55,36,49,59,73,75
Rubén Castro,Rubén Castro Martín,73,0,ST,ST,Spain,41,169,68,374,Málaga CF,7000,0,ST,2023,24,2022,-,Right,3,3,2,-,-,-,Medium,Low,70,77,63,74,30,60
J. Hendry,Jack Hendry,73,3500000,CB,CB,Scotland,27,194,88,396,US Cremonese,18000,0,SUB,2023,2,2021,TRUE,Right,2,2,1,Scotland,SUB,13,Medium,Medium,71,56,54,62,71,82
M. Yandaş,Mert Hakan Yandaş,73,3200000,"CM,CAM",CM,Turkey,27,174,70,421,Fenerbahçe SK,45000,6100000,SUB,2024,8,2020,-,Right,4,3,1,-,-,-,High,High,68,70,74,73,64,72
Raíllo,Antonio José Raíllo Arenas,73,2500000,CB,CB,Spain,30,187,80,344,RCD Mallorca,19000,5500000,CB,2024,21,2016,-,Right,3,2,1,-,-,-,Low,High,49,36,53,54,74,78
Joo Min Kyu,Min Kyu Joo,73,2500000,ST,ST,Korea Republic,32,183,79,392,Jeju United FC,8000,3100000,ST,2022,18,2020,-,Right,4,3,1,-,-,-,High,Low,66,75,54,69,49,79
J. Thielmann,Jan Thielmann,73,6500000,"RM,CF,LM",RM,Germany,20,178,72,399,1. FC Köln,16000,13000000,SUB,2024,29,2019,-,Right,3,3,1,-,-,-,High,High,81,69,66,72,45,66
O. Duda,Ondrej Duda,73,3500000,"CAM,CF",CAM,Slovakia,27,181,75,405,1. FC Köln,22000,6600000,SUB,2024,18,2020,-,Right,4,4,2,-,-,-,Medium,Medium,69,71,71,78,53,63
Hernani,Hernani Azevedo Júnior,73,3000000,"CM,CDM",CDM,Brazil,28,188,77,419,Urbs Reggina 1914,5000,0,CM,2023,20,2022,TRUE,Right,4,3,1,-,-,-,Medium,Medium,65,69,69,72,74,70
A. Bella Kotchap,Armel Bella Kotchap,73,6000000,CB,CB,Germany,20,190,87,358,Southampton,26000,12600000,CB,2026,37,2022,-,Right,5,2,1,-,-,-,Medium,Medium,82,25,50,51,74,76
A. Barberis,Andrea Barberis,73,2900000,"CDM,CM",CDM,Italy,28,177,72,395,AC Monza,34000,5100000,SUB,2023,8,2020,-,Right,2,2,1,-,-,-,High,High,74,49,70,68,68,66
Y. Brecher,Yanick Brecher,73,2500000,GK,GK,Switzerland,29,196,88,402,FC Zürich,12000,3900000,GK,2027,25,2011,-,Right,3,1,1,-,-,-,Medium,Medium,72,73,69,75,40,73
I. Traoré,Ismaël Traoré,73,800000,CB,CB,Côte d'Ivoire,35,184,87,343,FC Metz,5000,1400000,CB,2024,86,2022,-,Right,2,2,2,-,-,-,Medium,High,35,45,58,49,72,84
J. Larrivey,Joaquín Larrivey,73,1000000,ST,ST,Argentina,37,186,82,360,Cosenza,3000,1600000,ST,2023,9,2022,-,Right,3,3,1,-,-,-,Medium,Low,50,75,58,61,42,74
J. Menéndez,Jonathan Menéndez,73,3100000,"RM,LM,LW",RM,Argentina,28,164,63,389,Vélez Sarsfield,8000,0,SUB,2022,27,2021,TRUE,Left,5,3,1,-,-,-,High,Medium,87,68,67,74,42,51
J. Lucumí,Jhon Lucumí,73,6500000,CB,CB,Colombia,24,187,82,370,Bologna,20000,12400000,CB,2025,26,2022,-,Left,3,2,1,-,-,-,Medium,High,70,28,59,63,72,78
Juan Soriano,Juan Soriano Oropesa,73,3900000,GK,GK,Spain,24,185,78,395,CD Tenerife,6000,7000000,GK,2024,1,2021,-,Left,2,1,1,-,-,-,Medium,Medium,76,67,66,77,37,72
S. Spierings,Stijn Spierings,73,3600000,"CDM,CM",CDM,Netherlands,26,188,83,388,Toulouse Football Club,15000,7500000,CDM,2023,17,2020,-,Right,3,3,1,-,-,-,High,High,49,60,67,71,69,72
R. Carrera,Ramiro Carrera,73,3000000,"CM,LM,RM",CM,Argentina,28,182,77,426,Atlético Tucumán,11000,4500000,CM,2024,23,2020,-,Right,4,3,1,-,-,-,High,Medium,79,69,71,71,63,73
L. Görtler,Lukas Görtler,73,3000000,"CM,RM,CAM",CM,Germany,28,186,80,409,FC St. Gallen 1879,11000,4400000,CM,2026,16,2019,-,Right,3,3,1,-,-,-,High,Medium,67,63,75,69,56,79
Léo Jardim,Leonardo Cesar Jardim,73,3200000,GK,GK,Brazil,27,188,82,398,LOSC Lille,18000,6300000,GK,2024,1,2019,-,Right,2,1,1,-,-,-,Medium,Medium,74,70,68,75,41,70
Juankar,Juan Carlos Pérez López,73,2100000,"LB,LWB",LB,Spain,32,179,68,415,Panathinaikos FC,700,4600000,LB,2024,3,2020,-,Left,2,3,1,-,-,-,Medium,Medium,74,62,69,73,67,70
R. Zieler,Ron-Robert Zieler,73,1000000,GK,GK,Germany,33,188,81,404,Hannover 96,17000,1600000,GK,2023,1,2019,-,Right,3,1,2,-,-,-,Medium,Medium,70,69,70,74,48,73
K. Velasco,Kevin Velasco,73,4000000,"LM,LB",LM,Colombia,25,169,70,404,Deportivo Cali,4000,5900000,LB,2022,21,2018,-,Left,3,3,1,-,-,-,High,Medium,82,64,66,76,59,57
M. Fathi,Mostafa Fathi,73,3100000,"RM,CAM",RM,Egypt,28,174,64,387,Al Taawoun,21000,5100000,SUB,2024,66,2022,-,Left,2,3,1,-,-,-,High,Low,81,69,66,78,36,57
G. Kvilitaia,Giorgi Kvilitaia,73,3100000,ST,ST,Georgia,28,193,80,377,APOEL Nicosia FC,1000,6800000,ST,2024,11,2021,-,Right,4,2,1,-,-,-,High,Low,64,73,59,70,37,74
Nuno Lisareda,Nuno Caio Lisareda Abravanel,73,3600000,ST,ST,Brazil,22,190,88,374,Sport Club Corinthians Paulista,22000,6800000,SUB,2025,29,2022,-,Right,3,2,1,-,-,-,Medium,Medium,78,74,60,73,29,60
S. Zoller,Simon Zoller,73,2600000,"ST,RW,LW",ST,Germany,31,179,73,387,VfL Bochum 1848,22000,4700000,RW,2024,9,2019,-,Right,3,3,1,-,-,-,High,High,71,74,65,73,39,65
M. Torrén,Miguel Ángel Torrén,73,1500000,CB,CB,Argentina,33,176,71,390,Argentinos Juniors,11000,2300000,CB,2023,2,2011,-,Right,3,2,1,-,-,-,Medium,Medium,69,49,64,59,73,76
R. Rey,Rodrigo Rey,73,1600000,GK,GK,Argentina,31,188,78,410,Gimnasia y Esgrima La Plata,11000,2400000,GK,2022,17,2021,-,Right,3,1,1,-,-,-,Medium,Medium,73,71,69,74,50,73
N. Phillips,Nathaniel Phillips,73,3600000,CB,CB,England,25,190,84,331,Liverpool,57000,6900000,RES,2025,47,2017,-,Right,2,2,1,-,-,-,Low,Medium,52,30,49,51,74,75
J. Makengo,Jean-Victor Makengo,73,4800000,"CM,CDM",CM,France,24,177,75,420,Udinese Calcio,12000,9100000,SUB,2025,6,2020,-,Left,3,3,1,-,-,-,High,High,66,66,72,73,73,70
P. Hatzidiakos,Pantelis Hatzidiakos,73,3400000,"CB,RB",CB,Greece,25,180,68,405,AZ Alkmaar,8000,5400000,RB,2024,3,2014,-,Right,3,2,1,-,-,-,Medium,Medium,74,52,65,68,72,74
T. Cleverley,Tom Cleverley,73,2400000,CM,CM,England,32,175,67,396,Watford,34000,4600000,SUB,2023,8,2017,-,Right,3,3,2,-,-,-,Medium,Medium,56,68,73,73,61,65
P. De la Vega,Pedro De la Vega,73,7000000,"RM,RW,LW",RM,Argentina,21,177,71,417,Club Atlético Lanús,11000,11900000,SUB,2025,10,2018,-,Right,3,4,1,-,-,-,High,Medium,82,70,69,75,50,71
M. de los Santos,Matías de los Santos,73,2800000,CB,CB,Uruguay,29,187,83,384,Vélez Sarsfield,12000,4400000,CB,2023,6,2021,-,Right,3,2,1,-,-,-,Medium,Medium,55,55,59,62,71,82
M. Ritchie,Matt Ritchie,73,2400000,"RM,LB",RM,Scotland,32,172,76,413,Newcastle United,57000,4600000,SUB,2023,11,2016,-,Left,4,4,1,-,-,-,High,High,60,72,75,75,66,65
Luis Couprins,Luis David Couprins Acuna,73,3200000,"CDM,CM",CDM,Brazil,22,177,72,407,Club Athletico Paranaense,10000,6100000,CM,2025,33,2022,-,Right,3,2,1,-,-,-,Low,Medium,71,65,66,62,74,69
Douglas Augusto,Douglas Augusto Soares Gomes,73,4000000,"CAM,CM,CDM",CAM,Brazil,25,174,68,430,PAOK,1000,9100000,CM,2023,8,2019,-,Left,3,2,1,-,-,-,Medium,Medium,73,69,69,73,69,77
A. Ousou,Aiham Ousou,73,4200000,CB,CB,Sweden,22,186,78,368,SK Slavia Praha,850,9600000,CB,2026,4,2021,-,Right,3,2,1,-,-,-,High,Medium,70,31,55,67,72,73
K. Bonifazi,Kevin Bonifazi,73,3300000,CB,CB,Italy,26,187,85,335,Bologna,23000,5900000,SUB,2025,14,2021,-,Right,4,2,1,-,-,-,Medium,High,52,35,51,56,75,66
Enric Gallego,Enrique Gallego Puigsech,73,1300000,ST,ST,Spain,35,190,79,349,CD Tenerife,8000,2100000,ST,2023,18,2021,-,Left,3,3,1,-,-,-,Medium,Low,54,76,56,67,25,71
C. Tarragona,Cristian Tarragona,73,2600000,ST,ST,Argentina,31,177,74,400,Gimnasia y Esgrima La Plata,16000,3900000,SUB,2022,25,2022,-,Right,3,3,1,-,-,-,High,Medium,82,72,54,70,43,79
B. Davies,Ben Davies,73,3500000,CB,CB,England,26,185,74,374,Rangers FC,36000,6600000,RES,2026,26,2022,-,Left,3,2,1,-,-,-,Medium,Medium,66,39,59,63,74,73
K. Grabara,Kamil Grabara,73,3900000,GK,GK,Poland,23,195,85,406,F.C. København,12000,5900000,RES,2026,1,2021,-,Right,3,1,1,-,-,-,Medium,Medium,75,72,69,74,42,74
Freder Cabral,Frederico Peter Cabral Bardini,73,2000000,GK,GK,Brazil,30,188,83,407,Clube Atlético Mineiro,20000,3600000,GK,2025,1,2022,-,Right,2,1,1,-,-,-,Medium,Medium,73,77,69,66,46,76
O. Norwood,Oliver Norwood,73,2100000,"CDM,CM",CDM,Northern Ireland,31,175,69,390,Sheffield United,21000,4000000,CM,2023,16,2019,-,Right,3,2,1,-,-,-,Medium,Medium,48,66,77,67,68,64
C. Hountondji,Cédric Hountondji,73,2900000,CB,CB,Benin,28,195,81,331,Angers SCO,18000,6000000,CB,2026,22,2022,-,Right,2,2,1,-,-,-,Medium,High,45,33,53,56,74,70
Dagoberto Esteiro,Dago Filipe Esteiro Cortejo,73,3400000,ST,ST,Brazil,26,178,75,343,São Paulo,31000,6500000,ST,2025,29,2022,-,Left,4,2,1,-,-,-,Medium,Medium,64,76,52,67,25,59
D. Khocholava,Davit Khocholava,73,2800000,CB,CB,Georgia,29,192,92,373,F.C. København,18000,3900000,CB,2025,5,2021,-,Right,3,2,1,-,-,-,Medium,Medium,55,50,54,61,73,80
J. Leweling,Jamie Leweling,73,7000000,"ST,RW",ST,Germany,21,184,86,393,1. FC Union Berlin,20000,14000000,RES,2024,40,2022,-,Right,3,3,1,-,-,-,Medium,Medium,82,71,61,77,33,69
B. Schenkeveld,Bart Schenkeveld,73,2500000,CB,CB,Netherlands,30,185,83,390,Panathinaikos FC,700,5500000,CB,2023,5,2019,-,Right,2,2,1,-,-,-,Medium,Medium,73,40,61,66,73,77
J. Gómez,Jonatan Gómez,73,2400000,"CAM,CM",CAM,Argentina,32,171,71,403,Racing Club,12000,0,SUB,2022,11,2021,TRUE,Right,3,3,1,-,-,-,High,Medium,72,68,72,76,51,64
T. Nianzou,Tanguy Nianzou,73,7000000,CB,CB,France,20,191,85,368,Sevilla FC,13000,16100000,RES,2027,14,2022,-,Right,3,2,1,-,-,-,Low,High,62,37,56,64,73,76
K. Taylor,Kenneth Taylor,73,7500000,"CM,CDM",CAM,Netherlands,20,182,70,422,Ajax,10000,12000000,CM,2027,8,2018,-,Left,5,3,1,-,-,-,Medium,Medium,76,69,76,74,61,66
J. Butland,Jack Butland,73,2100000,GK,GK,England,29,196,95,413,Crystal Palace,31000,4000000,SUB,2023,1,2020,-,Right,4,1,2,-,-,-,Medium,Medium,73,68,66,75,57,74
K. Olsson,Kristoffer Olsson,73,3500000,"CM,CDM",CM,Sweden,27,178,70,408,FC Midtjylland,18000,0,CDM,2023,8,2021,TRUE,Right,3,4,1,-,-,-,High,Medium,68,61,74,74,67,64
Júlio Tavares,Júlio Carolino Tavares,73,1900000,ST,ST,Cape Verde Islands,33,188,86,371,Al Raed,18000,3100000,ST,2024,17,2022,-,Right,3,3,1,-,-,-,High,Medium,58,74,56,68,30,85
D. Boyko,Denys Boyko,73,525000,GK,GK,Ukraine,34,197,85,412,Dynamo Kyiv,650,1200000,SUB,2023,71,2018,-,Right,3,1,2,-,-,-,Medium,Medium,75,69,75,70,49,74
N. Gießelmann,Niko Gießelmann,73,2600000,"LWB,LB",LWB,Germany,30,182,75,410,1. FC Union Berlin,22000,4700000,SUB,2023,23,2020,-,Left,2,3,1,-,-,-,Medium,Medium,66,60,71,68,70,75
Josan,José Antonio Ferrández Pomares,73,2400000,"RM,RWB",RM,Spain,32,175,68,395,Elche CF,16000,5300000,SUB,2023,17,2018,-,Right,3,4,1,-,-,-,High,Medium,83,68,67,74,54,49
Jo Hyeon Woo,Hyeon Woo Jo,73,2000000,GK,GK,Korea Republic,30,189,75,404,Ulsan Hyundai FC,8000,2600000,GK,2022,21,2020,-,Right,3,1,1,-,-,-,Medium,Medium,73,70,62,78,51,70
A. El Kaabi,Ayoub El Kaabi,73,3000000,"ST,LW,RW",ST,Morocco,29,182,76,379,Atakaş Hatayspor,14000,6000000,ST,2023,25,2021,-,Left,2,3,1,Morocco,SUB,8,Medium,Low,74,73,60,71,35,66
M. Ingvartsen,Marcus Ingvartsen,73,3600000,"ST,CF,CAM",ST,Denmark,26,186,80,391,1. FSV Mainz 05,24000,6400000,SUB,2025,11,2022,-,Left,4,3,1,-,-,-,Medium,Medium,64,77,66,74,38,72
N. Domingo,Nicolás Domingo,73,600000,"CDM,CM,CB",CDM,Argentina,37,174,70,378,Club Atlético Banfield,9000,870000,CDM,2022,5,2021,-,Right,3,3,1,-,-,-,Low,High,41,59,68,67,71,72
E. Piovi,Ezequiel Piovi,73,2600000,"CDM,CM,RM",CDM,Argentina,29,168,68,423,LDU Quito,900,5600000,CM,2025,18,2021,-,Right,3,3,1,-,-,-,Medium,Medium,76,64,69,71,71,72
G. Medel,Gary Medel,73,1000000,CB,CB,Chile,34,171,76,384,Bologna,23000,1700000,CB,2023,17,2019,-,Right,4,3,3,-,-,-,Medium,High,56,50,62,68,72,76
Aleix Vidal,Aleix Vidal Parreu,73,2100000,"RB,RM",RM,Spain,32,177,70,430,RCD Espanyol de Barcelona,14000,4400000,SUB,2023,22,2021,-,Right,3,3,2,-,-,-,High,Medium,79,66,72,75,67,71
F. De Paul,Fernando De Paul,73,1600000,GK,GK,Chile,31,183,83,391,CD Everton de Viña del Mar,3000,2200000,GK,2022,30,2022,-,Right,3,1,1,-,-,-,Medium,Medium,74,66,63,75,40,73
M. Nzola,M'Bala Nzola,73,4099999,ST,ST,Angola,25,185,82,386,Spezia,16000,7700000,ST,2023,18,2021,-,Left,4,3,1,-,-,-,Medium,Medium,85,70,59,68,29,75
Lee Kang In,Kang In Lee,73,7000000,"CAM,ST,RM",CAM,Korea Republic,21,173,68,373,RCD Mallorca,15000,16800000,ST,2025,19,2021,-,Left,3,4,1,-,-,-,Medium,Low,70,71,74,76,30,52
S. Sunzu,Stoppila Sunzu,73,1500000,CB,CB,Zambia,33,192,80,337,Shijiazhuang Ever Bright F.C.,8000,2300000,CB,2023,13,2020,-,Right,3,3,1,-,-,-,Medium,High,39,41,49,50,74,84
C. Gytkjær,Christian Gytkjær,73,2500000,ST,ST,Denmark,32,185,77,376,AC Monza,39000,4300000,SUB,2023,9,2020,-,Right,4,3,1,-,-,-,Medium,Medium,71,74,57,69,33,72
S. Babić,Srđan Babić,73,4000000,CB,CB,Serbia,26,195,86,342,Unión Deportiva Almería,19000,9100000,CB,2026,22,2022,-,Left,3,2,1,-,-,-,Medium,Medium,54,40,47,52,73,76
Castro,André Castro Pereira,73,1400000,"CM,CDM",CM,Portugal,34,181,78,428,SC Braga,12000,2800000,SUB,2023,88,2020,-,Right,2,3,1,-,-,-,High,High,67,70,71,73,69,78
Soldado,Roberto Soldado Rillo,73,1000000,ST,ST,Spain,37,180,74,375,Levante Unión Deportiva,9000,1600000,ST,2023,9,2021,-,Right,4,3,3,-,-,-,High,Low,48,76,69,72,44,66
Pulido,Jorge Pulido Mayoral,73,2100000,CB,CB,Spain,31,186,72,338,SD Huesca,9000,3400000,CB,2023,14,2017,-,Right,3,2,1,-,-,-,Medium,Medium,43,41,51,51,73,79
Erik,Erik Nascimento de Lima,73,3200000,"LM,LW,ST",LM,Brazil,27,170,70,378,Changchun Yatai FC,10000,5000000,LW,2023,11,2021,-,Right,4,3,1,-,-,-,Medium,Medium,86,71,66,75,23,57
Osvaldo Lodeiro,Osvaldo Murilo Lodeiro Ferreira,73,3100000,"CB,RB,LB",CB,Brazil,22,185,81,373,RB Bragantino,11000,5900000,CB,2025,17,2022,-,Right,3,2,1,-,-,-,Medium,Medium,73,49,53,54,75,69
G. Larsonneur,Gautier Larsonneur,73,3100000,GK,GK,France,25,181,70,413,Valenciennes FC,13000,0,GK,2023,1,2017,TRUE,Right,2,1,2,-,-,-,Medium,Medium,72,71,72,74,52,72
L. Aued,Luciano Aued,73,1200000,"CM,CDM",CM,Argentina,35,178,69,399,Universidad Católica,7000,1700000,CM,2022,11,2017,-,Left,3,3,1,-,-,-,Medium,Medium,52,65,73,71,65,73
E. Mor,Emre Mor,73,4200000,"RW,ST,RM",CAM,Turkey,24,169,60,387,Fenerbahçe SK,43000,8300000,SUB,2025,99,2022,-,Left,3,4,1,-,-,-,Medium,Medium,87,65,64,83,31,57
Toni Lato,Antonio Latorre Grueso,73,4300000,"LB,LWB,LM",LB,Spain,24,171,64,401,Valencia CF,20000,9400000,SUB,2023,3,2015,-,Left,4,3,1,-,-,-,High,Medium,75,56,71,71,68,60
N. Chalobah,Nathaniel Chalobah,73,3300000,"CDM,CM",CDM,England,27,187,80,398,Fulham,38000,6500000,SUB,2023,12,2021,-,Right,3,3,1,-,-,-,Medium,Medium,55,61,67,72,71,72
J. Duverne,Jean-Kévin Duverne,73,4099999,"RB,LB,CB",CB,France,24,184,71,382,Stade Brestois 29,15000,8500000,RB,2023,2,2019,-,Right,3,3,1,-,-,-,Medium,Medium,63,38,62,70,75,74
A. Bertolacci,Andrea Bertolacci,73,2500000,"CM,CAM,CDM",CM,Italy,31,179,72,418,Yukatel Kayserispor,15000,5000000,SUB,2024,91,2022,-,Left,3,3,2,-,-,-,Medium,Low,63,69,73,75,73,65
Eguaras,Iñigo Eguaras Álvarez,73,2500000,"CDM,CM",CDM,Spain,30,181,77,390,Unión Deportiva Almería,19000,5500000,CM,2024,4,2022,-,Right,3,2,1,-,-,-,Medium,Low,53,56,75,65,68,73
F. Bardi,Francesco Bardi,73,2000000,GK,GK,Italy,30,188,80,406,Bologna,18000,3400000,SUB,2023,1,2021,-,Right,1,1,1,-,-,-,Medium,Medium,75,71,65,76,49,70
V. Manceau,Vincent Manceau,73,2000000,"CB,RB,RWB",CB,France,32,176,70,374,En Avant de Guingamp,7000,3500000,RWB,2024,15,2022,-,Right,3,2,1,-,-,-,Medium,High,42,47,69,71,75,70
Y. Candelo,Yerson Candelo,73,2900000,"RM,RB",RM,Colombia,30,172,67,426,Atlético Nacional,5000,4099999,RB,2023,19,2018,-,Right,3,4,1,-,-,-,High,Medium,82,67,72,76,62,67
R. Zalazar,Rodrigo Zalazar,73,6000000,"CM,CAM",CAM,Uruguay,22,178,78,421,FC Schalke 04,17000,12000000,CAM,2026,10,2022,-,Right,3,3,1,-,-,-,High,High,75,67,70,77,62,70
L. O'Brien,Lewis O'Brien,73,6000000,"CM,CDM,LM",CM,England,23,173,63,414,Nottingham Forest,38000,12600000,CM,2026,14,2022,-,Left,2,3,1,-,-,-,High,High,69,62,66,75,69,73
M. Mancosu,Marco Mancosu,73,1900000,CAM,CAM,Italy,33,180,77,379,Cagliari,5000,3000000,LF,2024,5,2022,-,Right,4,3,1,-,-,-,Medium,Medium,59,69,71,73,41,66
Felipe Silva,Felipe de Sousa Silva,73,3000000,ST,ST,Brazil,29,193,90,380,Chengdu Rongcheng F.C.,10000,4700000,ST,2025,9,2021,-,Left,4,3,1,-,-,-,High,Medium,76,72,58,67,23,84
M. Castro,Manuel Castro,73,3600000,"RM,LM",RM,Uruguay,26,171,73,400,Estudiantes de La Plata,12000,5700000,RM,2022,20,2019,-,Right,3,3,1,-,-,-,High,Medium,77,67,71,72,52,61
T. Kempe,Tobias Kempe,73,1900000,"CM,CAM",CM,Germany,33,184,77,412,SV Darmstadt 98,17000,3000000,CM,2023,11,2017,-,Right,3,3,1,-,-,-,Medium,Medium,65,73,77,74,52,71
L. González Pirez,Leandro González Pirez,73,2500000,CB,CB,Argentina,30,185,89,397,River Plate,7000,0,SUB,2023,14,2020,TRUE,Right,3,2,1,-,-,-,Medium,Medium,70,48,61,67,71,80
Cantero,Ander Cantero Armendariz,73,3000000,GK,GK,Spain,27,189,82,423,SD Eibar,7000,5000000,SUB,2024,1,2021,-,Left,3,1,1,-,-,-,Medium,Medium,72,74,69,73,60,75
R. Glatzel,Robert Glatzel,73,3100000,ST,ST,Germany,28,193,85,353,Hamburger SV,14000,5000000,ST,2025,9,2021,-,Right,4,2,1,-,-,-,Medium,Medium,62,73,46,65,30,77
Javi Sánchez,Javier Sánchez de Felipe,73,5500000,CB,CB,Spain,25,189,79,380,Real Valladolid CF,16000,12700000,CB,2024,5,2020,-,Right,4,2,1,-,-,-,Medium,Medium,66,53,54,58,72,77
Tiago Silva,Tiago Rafael Maia Silva,73,3000000,"CM,CAM",CM,Portugal,29,172,69,409,Vitória de Guimarães,10000,6300000,CM,2026,10,2021,-,Right,4,4,1,-,-,-,Medium,Medium,70,71,73,73,63,59
A. Molinas,Aaron Molinas,73,7000000,"CAM,CM",CAM,Argentina,21,175,67,388,Boca Juniors,10000,11200000,CM,2025,16,2018,-,Right,3,3,1,-,-,-,Medium,Medium,72,57,73,76,51,59
M. Müller,Marius Müller,73,2600000,GK,GK,Germany,28,192,92,387,FC Luzern,11000,4000000,GK,2025,1,2019,-,Right,2,1,1,-,-,-,Medium,Medium,72,69,69,74,30,73
Sergi Guardiola,Sergio Guardiola Navarro,73,2600000,ST,ST,Spain,31,184,78,389,Real Valladolid CF,20000,5500000,ST,2023,16,2019,-,Left,2,3,1,-,-,-,High,Low,73,73,62,74,30,77
A. Karazor,Atakan Karazor,73,3200000,"CDM,CB",CB,Germany,25,191,76,356,VfB Stuttgart,17000,6000000,CDM,2026,16,2019,-,Right,3,2,1,-,-,-,Low,Medium,51,36,60,63,76,70
Antunes,Vitorino Pacheco Antunes,73,925000,LB,LB,Portugal,35,175,72,424,FC Paços de Ferreira,6000,1900000,LB,2023,5,2021,-,Left,3,4,2,-,-,-,Medium,Medium,69,69,74,74,70,68
M. Cancellieri,Matteo Cancellieri,73,7000000,"RW,CF",CAM,Italy,19,180,79,398,Lazio,14000,0,SUB,2023,11,2020,TRUE,Left,3,4,1,-,-,-,High,Medium,83,69,69,77,38,62
L. Díaz,Leandro Díaz,73,3000000,ST,ST,Argentina,30,180,85,375,Estudiantes de La Plata,12000,4500000,ST,2024,9,2020,-,Right,2,3,1,-,-,-,Medium,Medium,69,74,63,68,27,74
